,OTUID,Occ.unfil,Domain,Phylum,Class,Order,Family,Genus,Species,Family.ed,Genus.ed
70,DQ071483.1.1508,0.139240506,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
191,GQ853416.1.1513,0.139240506,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,NA,Enterobacteriaceae,Pantoea
227,JN082536.1.1536,0.139240506,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,Moraxellaceae,Acinetobacter
257,KC171995.1.1449,0.139240506,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
342,LKHO01000001.198.1803,0.139240506,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Listeriaceae,Listeria
16,AF025370.1.1525,0.126582278,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
19,AF284578.1.1549,0.126582278,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,Streptococcaceae,Streptococcus
77,DQ819169.1.1447,0.126582278,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Enterobacteriaceae,Escherichia-Shigella
99,EU771597.1.1411,0.126582278,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Enterobacteriaceae,Escherichia-Shigella
141,FPLN01008255.16.1537,0.126582278,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,metagenome,Enterobacteriaceae,Escherichia-Shigella
203,HF570082.1.1509,0.126582278,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,NA,Beijerinckiaceae,Methylobacterium
253,JX437066.1.1490,0.126582278,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,Bacillaceae,Bacillus
280,KF928782.1.1516,0.126582278,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,NA,Enterobacteriaceae,Salmonella
335,KY777444.1.1555,0.126582278,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
13,ABRA01002618.192.1704,0.113924051,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
20,AGCT01052662.3515.5439,0.113924051,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
24,AJ440990.1.1550,0.113924051,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,NA,Planococcaceae,Planococcus
107,FJ184334.1.1511,0.113924051,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,Xanthomonadaceae,Stenotrophomonas
128,FNKD01000009.1.1593,0.113924051,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,NA,Bacillaceae,Virgibacillus
139,FPLN01001151.8.1523,0.113924051,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA,p_Gammaproteobacteria,p_Gammaproteobacteria
208,HK555801.1.1387,0.113924051,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,Enterobacteriaceae,f_Enterobacteriaceae
220,HQ682006.1.1451,0.113924051,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,uncultured bacterium,Caulobacteraceae,Brevundimonas
306,KR676539.1.1475,0.113924051,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomycetaceae,Streptomyces
307,KT003266.1.1254,0.113924051,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
10,AB637092.1.1524,0.101265823,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,NA,Bacillaceae,f_Bacillaceae
23,AJ429238.1.1465,0.101265823,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,Sphingomonadaceae,Sphingomonas
95,EU511062.1.1407,0.101265823,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,uncultured bacterium,Lachnospiraceae,uncultured
103,EU778460.1.1405,0.101265823,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
120,FJ901047.1.1308,0.101265823,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium,Pseudomonadaceae,Pseudomonas
121,FJ957467.1.1521,0.101265823,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA,Staphylococcaceae,Staphylococcus
193,GQ926886.1.1538,0.101265823,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
204,HG780372.1.1269,0.101265823,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,Pseudomonadaceae,Pseudomonas
251,JUOP01000215.81.1657,0.101265823,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcaceae,Enterococcus
268,KC683892.1.1440,0.101265823,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,Bacillaceae,Bacillus
272,KF100270.1.1376,0.101265823,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,uncultured bacterium,Ruminococcaceae,Fastidiosipila
291,KM391945.1.1431,0.101265823,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
337,KY908437.1.1285,0.101265823,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomycetaceae,Streptomyces
355,U92194.1.1550,0.101265823,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
4,AB362767.1.1576,0.088607595,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus fermentum,Lactobacillaceae,Lactobacillus
181,GEXO01005455.1.1513,0.088607595,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Malaclemys terrapin terrapin,Enterobacteriaceae,Escherichia-Shigella
298,KP975341.1.1504,0.088607595,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
316,KU588051.1.1264,0.088607595,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
333,KY660627.1.1449,0.088607595,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
336,KY777463.1.1542,0.088607595,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,Micrococcaceae,Micrococcus
29,AOKA01000137.3650.5241,0.075949367,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
38,AY773134.1.1507,0.075949367,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Comamonas,NA,Burkholderiaceae,Comamonas
83,EF364387.1.1474,0.075949367,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,NA,Beijerinckiaceae,Bosea
86,EF517948.1.1687,0.075949367,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
101,EU771783.1.1399,0.075949367,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Enterobacteriaceae,Escherichia-Shigella
127,FNFY01000063.42.1594,0.075949367,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,NA,Staphylococcaceae,Salinicoccus
140,FPLN01005715.1.1458,0.075949367,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,metagenome,Enterobacteriaceae,Escherichia-Shigella
157,FPLS01033822.31.1498,0.075949367,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA,Rhizobiaceae,f_Rhizobiaceae
164,GAJR01016305.1169.2580,0.075949367,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
209,HM159971.1.1501,0.075949367,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Comamonas,uncultured Comamonas sp.,Burkholderiaceae,Comamonas
234,JN695913.1.1530,0.075949367,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium radiotolerans,Beijerinckiaceae,Methylobacterium
292,KM659185.1.1456,0.075949367,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonadaceae,Pseudomonas
310,KT957300.1.1480,0.075949367,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus hominis subsp. hominis,Staphylococcaceae,Staphylococcus
327,KY038861.1.1462,0.075949367,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,NA,Enterobacteriaceae,Pantoea
37,AY538683.1.1513,0.063291139,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA,Staphylococcaceae,Staphylococcus
48,BBPC01190614.7148.8812,0.063291139,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
78,DQ870740.1.1288,0.063291139,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,uncultured bacterium,Staphylococcaceae,Staphylococcus
79,EF064168.1.1513,0.063291139,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,uncultured bacterium,Burkholderiaceae,Aquabacterium
142,FPLN01009530.8.1528,0.063291139,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
147,FPLS01006697.30.1498,0.063291139,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,Xanthobacteraceae,Bradyrhizobium
199,HAFQ01034880.73.1513,0.063291139,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
296,KP232906.1.1565,0.063291139,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
302,KR088380.1.1569,0.063291139,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida,Aeromonadaceae,Aeromonas
319,KU978243.1.1517,0.063291139,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
349,LT545682.1.1550,0.063291139,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonadaceae,Pseudomonas
71,DQ234192.1.1572,0.050632911,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
97,EU560820.1.1485,0.050632911,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Enterobacteriaceae,Escherichia-Shigella
163,FWXU01000054.357.1845,0.050632911,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
166,GAYR01026362.62.2014,0.050632911,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Solanum melongena (eggplant),Solanum melongena (eggplant),Mitochondria,Mitochondria
179,GEUY01000836.1.1611,0.050632911,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhizobacter,uncultured bacterium,Burkholderiaceae,Rhizobacter
213,HQ121087.1.1522,0.050632911,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,Burkholderiaceae,f_Burkholderiaceae
223,JF196556.1.1372,0.050632911,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,uncultured bacterium,Staphylococcaceae,Staphylococcus
236,JN866823.1.1445,0.050632911,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,Enterobacteriaceae,Citrobacter
237,JN868813.1.1537,0.050632911,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,Xanthomonadaceae,Stenotrophomonas
248,JQ975872.1.1501,0.050632911,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,uncultured bacterium,Xanthomonadaceae,Stenotrophomonas
255,JX898179.1.1548,0.050632911,Bacteria,Acidobacteria,Subgroup 6,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium
261,KC541303.1.1536,0.050632911,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,uncultured bacterium,Burkholderiaceae,Polaromonas
266,KC620696.1.1489,0.050632911,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,uncultured bacterium,Beijerinckiaceae,Methylobacterium
271,KF098385.1.1371,0.050632911,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,uncultured bacterium,Staphylococcaceae,Staphylococcus
290,KM232740.1.1520,0.050632911,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,uncultured bacterium,Flavobacteriaceae,Flavobacterium
